period,LOCK_UNLOCK_INITIATOR,STATE,num_of_unlocks,pct
2024-10-01,SUPPORT,UNLOCKED,166,1.0
2024-11-01,CUSTOMER,UNLOCKED,1167,0.35
2024-11-01,SUPPORT,UNLOCKED,2133,0.65
2024-12-01,CHATBOT,UNLOCKED,866,0.25
2024-12-01,CUSTOMER,UNLOCKED,230,0.07
2024-12-01,INTERACTIVE_VOICE_RESPONSE,UNLOCKED,1222,0.36
2024-12-01,SUPPORT,UNLOCKED,1117,0.33
2025-01-01,CHATBOT,UNLOCKED,762,0.3
2025-01-01,CUSTOMER,UNLOCKED,152,0.06
2025-01-01,INTERACTIVE_VOICE_RESPONSE,UNLOCKED,871,0.34
2025-01-01,SUPPORT,UNLOCKED,745,0.29
